"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	12	2300596	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	14	2146504	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	18	2158138	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	13	2314370	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	18	2165719	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	16	2179422	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	17	2337857	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	20	2192872	0.9
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	17	2213382	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	28	2385480	1.2
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	25	2243501	1.1
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	30	2407275	1.2
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	37	2265565	1.6
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	28	2430257	1.2
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	50	2287949	2.2
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	40	2448159	1.6
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	55	2309779	2.4
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	32	2459548	1.3
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	52	2320188	2.2
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	39	2473249	1.6
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	56	2329491	2.4
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	32	2483466	1.3
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	38	2338557	1.6
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	29	2488375	1.2
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	42	2345347	1.8
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	43	2499410	1.7
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	52	2349967	2.2
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	43	2505795	1.7
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	47	2353184	2.0
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	52	2507714	2.1
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	47	2355586	2.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	61	2514911	2.4
