"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	Suppressed	2488375	Suppressed
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	Suppressed	2499410	Suppressed
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	16	2505795	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	12	2507714	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	29	2514911	1.2
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	50	2523756	2.0
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	77	2533668	3.0
	"Alabama"	"01"	"Female"	"F"	"2020 "	"2020"	93	2544566	3.7
	"Alabama"	"01"	"Male"	"M"	"2013"	"2013"	16	2345347	Unreliable
	"Alabama"	"01"	"Male"	"M"	"2014"	"2014"	19	2349967	Unreliable
	"Alabama"	"01"	"Male"	"M"	"2015"	"2015"	24	2353184	1.0
	"Alabama"	"01"	"Male"	"M"	"2016"	"2016"	43	2355586	1.8
	"Alabama"	"01"	"Male"	"M"	"2017"	"2017"	87	2359836	3.7
	"Alabama"	"01"	"Male"	"M"	"2018"	"2018"	105	2364115	4.4
	"Alabama"	"01"	"Male"	"M"	"2019"	"2019"	154	2369517	6.5
	"Alabama"	"01"	"Male"	"M"	"2020 "	"2020"	204	2376966	8.6
	"Alaska"	"02"	"Female"	"F"	"2013"	"2013"	Suppressed	349564	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2014"	"2014"	12	349436	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	Suppressed	349407	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	14	353762	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	28	353003	7.9
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	17	352865	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	14	350127	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2020 "	"2020"	30	349621	8.6
	"Alaska"	"02"	"Male"	"M"	"2013"	"2013"	16	385568	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2014"	"2014"	17	387296	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2015"	"2015"	19	389025	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2016"	"2016"	35	388132	9.0
	"Alaska"	"02"	"Male"	"M"	"2017"	"2017"	38	386792	9.8
	"Alaska"	"02"	"Male"	"M"	"2018"	"2018"	35	384573	9.1
	"Alaska"	"02"	"Male"	"M"	"2019"	"2019"	50	381418	13.1
	"Alaska"	"02"	"Male"	"M"	"2020 "	"2020"	40	381537	10.5
	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	54	3331505	1.6
