"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	Suppressed	2488375	Suppressed
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	21	2499410	0.8
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	24	2505795	1.0
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	48	2507714	1.9
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	53	2514911	2.1
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	49	2523756	1.9
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	67	2533668	2.6
	"Alabama"	"01"	"Female"	"F"	"2020 "	"2020"	121	2544566	4.8
	"Alabama"	"01"	"Male"	"M"	"2013"	"2013"	23	2345347	1.0
	"Alabama"	"01"	"Male"	"M"	"2014"	"2014"	26	2349967	1.1
	"Alabama"	"01"	"Male"	"M"	"2015"	"2015"	46	2353184	2.0
	"Alabama"	"01"	"Male"	"M"	"2016"	"2016"	109	2355586	4.6
	"Alabama"	"01"	"Male"	"M"	"2017"	"2017"	145	2359836	6.1
	"Alabama"	"01"	"Male"	"M"	"2018"	"2018"	98	2364115	4.1
	"Alabama"	"01"	"Male"	"M"	"2019"	"2019"	146	2369517	6.2
	"Alabama"	"01"	"Male"	"M"	"2020 "	"2020"	321	2376966	13.5
	"Alaska"	"02"	"Female"	"F"	"2013"	"2013"	Suppressed	349564	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2014"	"2014"	Suppressed	349436	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	Suppressed	349407	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	Suppressed	353762	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	14	353003	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	Suppressed	352865	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	Suppressed	350127	Suppressed
