"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	Suppressed	2488375	Suppressed
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	46	2499410	1.8
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	24	2505795	1.0
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	30	2507714	1.2
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	32	2514911	1.3
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	29	2523756	1.1
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	36	2533668	1.4
	"Alabama"	"01"	"Female"	"F"	"2020 "	"2020"	41	2544566	1.6
	"Alabama"	"01"	"Male"	"M"	"2013"	"2013"	32	2345347	1.4
	"Alabama"	"01"	"Male"	"M"	"2014"	"2014"	76	2349967	3.2
	"Alabama"	"01"	"Male"	"M"	"2015"	"2015"	87	2353184	3.7
	"Alabama"	"01"	"Male"	"M"	"2016"	"2016"	96	2355586	4.1
	"Alabama"	"01"	"Male"	"M"	"2017"	"2017"	93	2359836	3.9
	"Alabama"	"01"	"Male"	"M"	"2018"	"2018"	108	2364115	4.6
	"Alabama"	"01"	"Male"	"M"	"2019"	"2019"	105	2369517	4.4
	"Alabama"	"01"	"Male"	"M"	"2020 "	"2020"	97	2376966	4.1
	"Alaska"	"02"	"Female"	"F"	"2013"	"2013"	Suppressed	349564	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2014"	"2014"	Suppressed	349436	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	11	349407	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	10	353762	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	17	353003	Unreliable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	Suppressed	352865	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	Suppressed	350127	Suppressed
	"Alaska"	"02"	"Female"	"F"	"2020 "	"2020"	10	349621	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2013"	"2013"	20	385568	5.2
	"Alaska"	"02"	"Male"	"M"	"2014"	"2014"	19	387296	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2015"	"2015"	26	389025	6.7
	"Alaska"	"02"	"Male"	"M"	"2016"	"2016"	39	388132	10.0
	"Alaska"	"02"	"Male"	"M"	"2017"	"2017"	19	386792	Unreliable
	"Alaska"	"02"	"Male"	"M"	"2018"	"2018"	21	384573	5.5
	"Alaska"	"02"	"Male"	"M"	"2019"	"2019"	37	381418	9.7
	"Alaska"	"02"	"Male"	"M"	"2020 "	"2020"	25	381537	6.6
	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	26	3331505	0.8
	"Arizona"	"04"	"Female"	"F"	"2014"	"2014"	34	3387637	1.0
	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	67	3436575	1.9
	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"	66	3488176	1.9
	"Arizona"	"04"	"Female"	"F"	"2017"	"2017"	78	3527969	2.2
	"Arizona"	"04"	"Female"	"F"	"2018"	"2018"	71	3606307	2.0
	"Arizona"	"04"	"Female"	"F"	"2019"	"2019"	53	3661420	1.4
	"Arizona"	"04"	"Female"	"F"	"2020 "	"2020"	54	3735475	1.4
	"Arizona"	"04"	"Male"	"M"	"2013"	"2013"	120	3295119	3.6
	"Arizona"	"04"	"Male"	"M"	"2014"	"2014"	163	3343847	4.9
	"Arizona"	"04"	"Male"	"M"	"2015"	"2015"	180	3391490	5.3
	"Arizona"	"04"	"Male"	"M"	"2016"	"2016"	233	3442895	6.8
	"Arizona"	"04"	"Male"	"M"	"2017"	"2017"	256	3488301	7.3
	"Arizona"	"04"	"Male"	"M"	"2018"	"2018"	281	3565339	7.9
	"Arizona"	"04"	"Male"	"M"	"2019"	"2019"	218	3617297	6.0
	"Arizona"	"04"	"Male"	"M"	"2020 "	"2020"	163	3685926	4.4
	"Arkansas"	"05"	"Female"	"F"	"2013"	"2013"	Suppressed	1505782	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2014"	"2014"	Suppressed	1509053	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2015"	"2015"	Suppressed	1515348	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2016"	"2016"	Suppressed	1520375	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2017"	"2017"	Suppressed	1528215	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2018"	"2018"	Suppressed	1533682	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2019"	"2019"	Suppressed	1536188	Suppressed
	"Arkansas"	"05"	"Female"	"F"	"2020 "	"2020"	10	1543666	Unreliable
	"Arkansas"	"05"	"Male"	"M"	"2013"	"2013"	Suppressed	1453591	Suppressed
	"Arkansas"	"05"	"Male"	"M"	"2014"	"2014"	Suppressed	1457316	Suppressed
	"Arkansas"	"05"	"Male"	"M"	"2015"	"2015"	Suppressed	1462856	Suppressed
	"Arkansas"	"05"	"Male"	"M"	"2016"	"2016"	12	1467873	Unreliable
	"Arkansas"	"05"	"Male"	"M"	"2017"	"2017"	12	1476064	Unreliable
	"Arkansas"	"05"	"Male"	"M"	"2018"	"2018"	12	1480143	Unreliable
	"Arkansas"	"05"	"Male"	"M"	"2019"	"2019"	28	1481616	1.9
	"Arkansas"	"05"	"Male"	"M"	"2020 "	"2020"	11	1486856	Unreliable
	"California"	"06"	"Female"	"F"	"2013"	"2013"	82	19268325	0.4
	"California"	"06"	"Female"	"F"	"2014"	"2014"	91	19533596	0.5
	"California"	"06"	"Female"	"F"	"2015"	"2015"	131	19701750	0.7
	"California"	"06"	"Female"	"F"	"2016"	"2016"	107	19756656	0.5
	"California"	"06"	"Female"	"F"	"2017"	"2017"	130	19889100	0.7
	"California"	"06"	"Female"	"F"	"2018"	"2018"	153	19893468	0.8
	"California"	"06"	"Female"	"F"	"2019"	"2019"	197	19867369	1.0
	"California"	"06"	"Female"	"F"	"2020 "	"2020"	187	19790589	0.9
	"California"	"06"	"Male"	"M"	"2013"	"2013"	404	19064196	2.1
	"California"	"06"	"Male"	"M"	"2014"	"2014"	470	19268904	2.4
	"California"	"06"	"Male"	"M"	"2015"	"2015"	462	19443068	2.4
	"California"	"06"	"Male"	"M"	"2016"	"2016"	480	19493361	2.5
	"California"	"06"	"Male"	"M"	"2017"	"2017"	585	19647553	3.0
	"California"	"06"	"Male"	"M"	"2018"	"2018"	625	19663577	3.2
	"California"	"06"	"Male"	"M"	"2019"	"2019"	767	19644854	3.9
	"California"	"06"	"Male"	"M"	"2020 "	"2020"	815	19577489	4.2
	"Colorado"	"08"	"Female"	"F"	"2013"	"2013"	25	2621921	1.0
	"Colorado"	"08"	"Female"	"F"	"2014"	"2014"	29	2664707	1.1
	"Colorado"	"08"	"Female"	"F"	"2015"	"2015"	35	2712811	1.3
	"Colorado"	"08"	"Female"	"F"	"2016"	"2016"	54	2754727	2.0
	"Colorado"	"08"	"Female"	"F"	"2017"	"2017"	50	2784821	1.8
	"Colorado"	"08"	"Female"	"F"	"2018"	"2018"	45	2827696	1.6
	"Colorado"	"08"	"Female"	"F"	"2019"	"2019"	44	2857388	1.5
	"Colorado"	"08"	"Female"	"F"	"2020 "	"2020"	53	2881832	1.8
	"Colorado"	"08"	"Male"	"M"	"2013"	"2013"	95	2646446	3.6
	"Colorado"	"08"	"Male"	"M"	"2014"	"2014"	127	2691159	4.7
	"Colorado"	"08"	"Male"	"M"	"2015"	"2015"	124	2743763	4.5
	"Colorado"	"08"	"Male"	"M"	"2016"	"2016"	180	2785818	6.5
	"Colorado"	"08"	"Male"	"M"	"2017"	"2017"	174	2822333	6.2
	"Colorado"	"08"	"Male"	"M"	"2018"	"2018"	188	2867868	6.6
	"Colorado"	"08"	"Male"	"M"	"2019"	"2019"	171	2901348	5.9
	"Colorado"	"08"	"Male"	"M"	"2020 "	"2020"	167	2925887	5.7
	"Connecticut"	"09"	"Female"	"F"	"2013"	"2013"	54	1841929	2.9
	"Connecticut"	"09"	"Female"	"F"	"2014"	"2014"	77	1842128	4.2
